video_url,brazilian_state,corrected_transcription,text_origin,specific_contexts,Os contextos específicos fornecidos fazem sentido? Alguma outra explicação poderia ser incluída?,punchlines,Os trechos selecionados realmente contribuem para a comicidade do texto? Há algum outro trecho que caiba ser destacado?,joke_explanation,A explicação está clara e bem fundamentada? Está coerente com os elementos do texto? De fato é isso que torna o texto engraçado? Que outra ideia poderia ser explicada?,fun,humor,nonsense,wit,irony,satire,sarcasm,cynicism,Os estilos cômicos atribuídos fazem sentido? Algum outro estilo deveria ser incluído?,Algum estilo cômico deveria ser removido?,annotator_ID
https://www.youtube.com/shorts/NwRN62ZBypY?feature=share,Pernambuco,"O que mais foi difícil pra você? Você assumir gay ou se assumir comediante pra sua família? Ah, foi o gay. O comediante foi complicado também, né? Porque aquela coisa, família nordestina, meus pais eram... Meu pai queria que eu fizesse concurso pra ser policial. Imagina! Onde que a PM ia me colocar? Tá querendo dizer que a polícia militar é homofóbica? Thumb do vídeo, o Chicó diz que a polícia militar é homofóbica. Não, é porque eu... Você tá dizendo que a polícia então não é homofóbica? Não, pelo contrário. Eu tenho muito tesão em homem de uniforme. Ia ser muito difícil me concentrar no meu trabalho tendo TDAH e com todos aqueles homens fardados ao meu redor. Gente, a gente tem que lutar contra o crime. Mas puta que pariu, essa calça tá ótima.",Podcast,O nome do humorista entrevistado é Júnior Chicó.,,"Thumb do vídeo, o Chicó diz que a polícia militar é homofóbica. ; Você tá dizendo que a polícia então não é homofóbica?; Eu tenho muito tesão em homem de uniforme. Ia ser muito difícil me concentrar no meu trabalho tendo TDAH e com todos aqueles homens fardados ao meu redor. Gente, a gente tem que lutar contra o crime. Mas puta que pariu, essa calça tá ótima.",,"O humorista entrevistado conta que foi difícil se assumir gay, pois seu pai tinha a expectativa de que ele seguisse carreira na polícia. Ao ouvir isso, o entrevistador ironiza dizendo que colocará na thumb do vídeo que ele acredita que a polícia é homofóbica. Quando o humorista nega, o entrevistador o encurrala com a pergunta inversa: “Então você acha que a polícia não é homofóbica?”. No fim, o humorista surpreende ao revelar que, na verdade, sente atração por homens de farda e que, se trabalhasse na polícia, provavelmente não conseguiria se concentrar ao lado dos colegas.",,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,,"Tirar Sátira, apesar de tudo acho que não houve crítica ao comportamento ou à instituição (a polícia)",1
https://www.youtube.com/shorts/I9jNqplIqXk?feature=share,Pernambuco,"Eu gosto de festa temática dos anos 80, por quê? Porque eu tenho referência. As festas que eu não tenho referência, eu não gosto. Aí vamos fazer uma festa havaiana. Que referência eu tenho do Havaí? Eu nunca fui no Havaí, eu não entendo nada, não vou saber nada nessa festa. Quem mais organiza festa havaiana nunca chegou nem em Praia Grande. Quer fazer festa havaiana. Tu sabe porra de festa havaiana pra organizar nada? Uma vez me chamaram pra uma, falaram, Flávio, a festa é havaiana. Você tem que ir com alguma coisa de referência. Aí eu fui com chinelo. Eu num entendo porra nenhuma, é o pessoal com as camisas de flor, né? Aquelas camisas de flor, aí um colar de flor. Quem olha você de longe parece que você acabou de passar um fim de semana na casa de Silvio Santos. Porque os véi que gostam de flor. Tudo com véi é flor, né? É foto com flor, é camisa de flor, é coroa de flor, é tudo com flor. Ô povo pra gostar de flor.",Stand-up,"Praia Grande é um município de São Paulo. Silvio Santos foi um comunicador brasileiro que, no momento deste texto, tinha mais de 90 anos de idade.",,Quem mais organiza festa havaiana nunca chegou nem em Praia Grande.; Tu sabe porra de festa havaiana pra organizar nada?;  Aí eu fui com chinelo.; Quem olha você de longe parece que você acabou de passar um fim de semana na casa de Silvio Santos.;  Ô povo pra gostar de flor.,,"O humorista desdenha de quem organiza festa com temática do Havaí e diz que geralmente essa galera sequer foi para a cidade de Praia Grande, dando a entender que não foi pra qualquer praia sequer. Ele brinca ainda que única referencia que tem de lá é que andam de chinelo, e foi assim que ele foi quando o convidaram para uma festa com esse tema. Depois diz que viu uma galera cheia de flor na festa e diz que pareciam ter vindo da casa de Silvio Santos, que já era idoso e segundo ele idoso adora por flor em tudo.",,Não,Sim,Não,Sim,Sim,Não,Sim,Não,,,1
https://www.youtube.com/shorts/PSEKwaWXa5E?feature=share,Pernambuco,"E é complicado quando você casa pra organizar as finanças. É porque o gasto dela é o nosso e o nosso é o dela, entendeu? É o nosso gasto. Aí você tá querendo economizar, só que ela tá querendo comprar um jogo de copo novo. Faz visita. Não é nem pra você. Ela tá querendo economizar e ela tá querendo comprar um tapete pra sala. E o tapete tem a mesma função do chão, meu amigo. E o chão a gente já tem. A gente já tem chão lá em casa. A gente já tem.",Stand-up,,,"E o tapete tem a mesma função do chão, meu amigo. E o chão a gente já tem. A gente já tem chão lá em casa.",,"O humorista afirma que é difícil organizar finanças em casal, pois os gastos acabam se misturando. Ele diz então um exemplo em que sua mulher deseja comprar um tapete que ele afirma ser desnecessário pois o chão faz a mesma função e já tem chão de casa.",,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,,,1
https://www.youtube.com/shorts/rJbtJAhJZKA?feature=share,Pernambuco,"Tá doido? Não, aí uma vez no mês, posta uma foto do hambúrguer do McDonald's e bota Dia do lixo. Olha que raiva eu tenho. Quer desestabilizar? Quer acabar com o psicológico de uma dessa? Bota embaixo assim, ó. Eita, bem que eu notei a barriguinha na foto anterior. Acabou, irmão. É comentário pra caralho, todo mundo se doendo. Até a McDonald's manda um direct pra tu, faz. Aí é foda, né, irmão? Aí tu quer me fuder, né, bicho? Não, já basta as promoções da Burger King, até a tua roda. Não, o que eu mais odeio dessa galera é os hétero top bem sucedido do Instagram. Né, que é foto no carro, é seis horas da manhã, numa alegria da porra. Uns vídeos dentro do banco do carro, vai, bom dia! Porque eles falam alto, porque é acostumado com quartel. Não sei o que é que eles falam alto. Bom dia! Mais um dia de trabalho, mais um dia de superação e luta. Frase do dia!",Stand-up,Burger King e McDonalds são duas redes de fast food.,,"Eita, bem que eu notei a barriguinha na foto anterior.; Até a McDonald's manda um direct pra tu, faz. Aí é foda, né, irmão? Aí tu quer me fuder, né, bicho? Não, já basta as promoções da Burger King, até a tua roda. ",,"O humorista tira sarro de quem posta foto de hambúrguer dizendo estar no ""dia do lixo"" e sugere um comentário capaz de abalar o psicológico da pessoa: apontar que notou a barriga estufada na foto anterior. Em seguida, ele diverte ao imaginar a própria página do McDonald's entrando na conversa para discordar dos comentários negativos, reclamando que já sofre o suficiente com as promoções da concorrência, como o Burger King.",,Não,Não,Não,Sim,Sim,Não,Sim,Sim,,,1
https://www.youtube.com/shorts/ib1XVd5eRKE?feature=share,Bahia,"Levei ele pra fazer uma coisa no final do ano passado que eu não sabia que existia que o véio faz todo ano aposentado e pensionista do INSS, chamada prova de vida, alguém aqui sabe o que é? É um negócio que o véio faz no ano, tem um ano todo pra fazer isso, só que o véio escolhe 31 de dezembro pra fazer. Que é só o véio chegar no banco e fazer assim ó ói, tô online. Fui levar ele pra fazer a prova de vida, é um cara assim sem espírito social, um cara extremamente grosso. Ele foi levar ele pra fazer a prova de vida, aí chegou lá o cara da agência do Itaú, falou assim bom dia sinhô, bom dia minha pica cheia de mingau. Falei calma rapaz você acabou de chegar, você é maluco rapaz.",Stand-up,"Instituto Nacional do Seguro Social (INSS) é uma autarquia do Governo do Brasil responsável pela concessão, manutenção, revisão, suspensão, cessão e fiscalização de aposentadorias. Itaú é um banco privado do Brasil.",,"tem um ano todo pra fazer isso, só que o véio escolhe 31 de dezembro pra fazer.; Que é só o véio chegar no banco e fazer assim ó ói, tô online.; bom dia minha pica cheia de mingau.",,"O humorista conta sobre um senhor, possivelmente seu avô, que precisava comprovar ao INSS que ainda estava vivo para continuar recebendo o benefício. Apesar de ser um procedimento simples, bastando comparecer à agência e se identificar, ele deixou para resolver isso no último dia do ano. O humorista ainda relembra um momento inusitado, em que, ao chegar no banco, o idoso respondeu de maneira extremamente ríspida ao atendente, tornando a situação ainda mais cômica.",,Não,Sim,Não,Não,Sim,Não,Sim,Não,,,1
https://www.youtube.com/shorts/B00U9gUUoEM?feature=share,Pernambuco,"Hoje é dia dos amigos e eu vi todo mundo postando vídeo sobre o dia dos amigos e eu me senti na obrigação de fazer um vídeo de dia dos amigos, mesmo eu não querendo fazer um vídeo de dia dos amigos, porque todo mundo está fazendo, então se todo mundo está fazendo, eu não tenho o que fazer, então eu resolvi fazer um vídeo de dia dos amigos para dizer que eu não vou fazer um vídeo falando de dia dos amigos tá bom? e também não vou desejar um feliz dia dos amigos e até a próxima.",Mini vlog,,,mesmo eu não querendo fazer um vídeo de dia dos amigos; e também não vou desejar um feliz dia dos amigos e até a próxima.,,"O humorista grava um vídeo para o Dia dos Amigos, mas, no meio do discurso, afirma que não quer fazer um vídeo para essa data. No final, reforça que não vai desejar um feliz Dia dos Amigos, contradizendo-se o tempo todo.",,Sim,Não,Não,Não,Não,Não,Não,Não,Aqui cabe incluir ironia.,,1
https://www.youtube.com/shorts/p4kDbEGq-HQ?feature=share,Pernambuco,"Quando eu levei o Jefferson para Recife para conhecer minha família, a gente estava andando na rua de mão dada. Sabe quando a gente faz sem perceber? Eu acho que casal hétero não se preocupa com isso. Você não anda na rua de mão dada e de repente faz, eita, se passa alguém a ver. Pronto, teve um momento que a gente esqueceu. A gente estava andando de mão dada na rua e passou um carro e o cara xingando. Ô, seus viado, toma vergonha, não sei o que, e passou no carro. Pegou de surpresa. Sabe quando você esquece? Caralho, esqueci que existem essas porras. Mas o Jefferson estava tão seguro que ele deu uma resposta para o cara que eu fiquei tão orgulhoso. Cara, ô, seus viado. O Jefferson olhou para o cara e fez. Ô, você só não é meu filho porque teu pai não engravida. Eu fiquei num tesão no Jefferson nesse dia.",Stand-up,,,"Ô, você só não é meu filho porque teu pai não engravida. Eu fiquei num tesão no Jefferson nesse dia.",,"O humorista compartilha uma situação infeliz em que sofreu homofobia, mas encontra humor na forma sagaz com que seu namorado rebateu o agressor. Com uma resposta afiada, ele deu a entender que o próprio pai do infrator também é gay e que só não o engravidou porque ele é homem.",,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,,,1
https://www.youtube.com/shorts/QJuG89RK68A?feature=share,Pernambuco,"Abandonado pelo pai. Miserável, foi embora, rapaz. Foi... Hã? Foi comprar cigarro? Meu pai pode ser ausente, mas ele era crente, viu? Ele não fuma, não. Ele abandona filhos. É diferente.",Stand-up,,Explicar sobre o meme do pai que diz que vai comprar cigarro e acaba desaparecendo da vida do filho.,"Foi comprar cigarro? Meu pai pode ser ausente, mas ele era crente, viu? Ele não fuma, não. Ele abandona filhos. É diferente.",,"O humorista conta que foi abandonado pelo pai e alguém da plateia reproduz o meme do ""foi comprar cigarro?"". Ele responde, de forma sarcástica, que apesar do pai o ter abandonado, ele é crente e jamais fumaria.",,Não,Sim,Não,Sim,Sim,Não,Sim,Não,,,1
https://www.youtube.com/shorts/84abcoQlc9g?feature=share,Piauí,"O brasileiro adora ser café com leite. Ninguém mexe com a gente. Não, ninguém mexe com a gente, mas o que conforta as pessoas é o que me aflige. Eu fico pensando, por que que ninguém mexe com a gente? O que que eles estão sabendo que nós não estamos sabendo? Eu começo a me preocupar. Eu acho que os outros países olham pro Brasil e vê o menino brincando assim, ó. Tem como? Vamos atacar? Não, deixa o bichinho, ele tá brincando de motinha, deixa ele. Com medo, fui pesquisar, botei no Google. Poder de guerra do Brasil. Tive informações que nós temos bala para duas horas de guerra. Só pode ser uma estratégia? Porque eu vi no Twitter que autorizaram a compra de 35 mil unidades de Viagra para o Exército Brasileiro. Estratégia? Ah, meu filho, nós somos assim, acabou a bala, caia na pica, meu irmão.",Stand-up,,,"Tem como? Vamos atacar? Não, deixa o bichinho, ele tá brincando de motinha, deixa ele. ; Só pode ser uma estratégia? Porque eu vi no Twitter que autorizaram a compra de 35 mil unidades de Viagra para o Exército Brasileiro. Estratégia? Ah, meu filho, nós somos assim, acabou a bala, caia na pica, meu irmão.",,"O humorista brinca que o brasileiro é ""café com leite"" no cenário internacional, ou seja, ninguém nos vê como ameaça. Ao mesmo tempo, isso o preocupa, levando-o a descobrir que o poderio militar do Brasil é insignificante. Ele então faz uma crítica bem-humorada, sugerindo que essa fragilidade só pode ser parte de uma ""estratégia"", já que o Exército Brasileiro decidiu comprar 35 mil unidades de Viagra em vez de investir em armamento. No fim, dispara uma piada dizendo que a tática é clara: se as balas acabarem, os inimigos vão ter que cair na pica.",,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,,,1
https://www.youtube.com/shorts/Y0RJGwmcBmg?feature=share,Pernambuco,"Criança de família não soltava bomba cordão. Meu pai nunca deixou eu soltar. Bomba cordão os menino faziam um planejamento. Os meninos soltavam no banheiro da escola. E era tudo planejado. Eles botavam um olheiro na frente do banheiro pra vigiar, ele entrava no banheiro, soltava a bomba, fechava a porta, saía no meio.",Stand-up,,,"Os meninos soltavam no banheiro da escola. E era tudo planejado. Eles botavam um olheiro na frente do banheiro pra vigiar, ele entrava no banheiro, soltava a bomba, fechava a porta, saía no meio.",,O humorista conta sobre a sagacidade das crianças em jogarem bomba cordão no banheiro da escola.,,Sim,Não,Não,Sim,Não,Não,Não,Não,,,1
https://www.youtube.com/shorts/G9m1fXTwyzY?feature=share,Pernambuco,"Vocês brincaram de Verdade ou Consequência? Que era dividido em duas partes. Era metade putaria, metade safadeza. Era só isso. Uma vez eu joguei. Aí meu amigo rodou a garrafa. Aí caiu ele pra uma menina que eu era louco pra ficar com ela. Aí ele já ligado. Verdade ou Consequência? Ela, Consequência. Aí ele olhou pra mim. Aí ele, um beijão em Flávio. Aí ela olhou pra mim e falou, posso mudar? Meu colega ainda tentou me ajudar. Olha que o que eu vou perguntar aqui é algo muito comprometedor. Ela olhou assim e falou, se eu tivesse cometido um crime, eu confessaria agora. Meu colega olhou pra mim e falou, o que você acha, Flávio? Eu falei, eu acho que ela não quer me beijar não. ",Stand-up,"O humorista que criou o texto se chama Flávio. Verdade ou Consequência é um jogo em que: caso seja feita escolhida a opção ""verdade"", uma pergunta, geralmente de foro íntimo, deverá ser respondida; se escolher a outra opção, deverá realizar uma tarefa, a critério do participante que fez a pergunta inicial.",,"Era metade putaria, metade safadeza.; Aí ela olhou pra mim e falou, posso mudar?; se eu tivesse cometido um crime, eu confessaria agora.; eu acho que ela não quer me beijar não. ",,"O humorista relata uma situação inusitada durante um jogo de ""Verdade ou Consequência"" com os amigos. No momento decisivo, a garota por quem ele tem interesse surpreende a todos ao declarar que preferia confessar um crime a ter que beijá-lo.",,Não,Sim,Não,Não,Sim,Não,Sim,Não,,,1
https://www.youtube.com/shorts/qPQQn0iV4Io?feature=share,Pernambuco,"Porra, ninguém pode mais fazer nada que é nada de política. Meu vizinho mesmo, um dia desse, saiu com a camisa da seleção no condomínio. O cara gritou da varanda, falou, vai, bolsonarista, filha da puta! Meu Deus, é a camisa da seleção só. No outro dia, ele saiu todo de vermelho. O mesmo cara gritou, agora quer vir pro nosso lado, né? Não adianta não! E ele falou, meu amigo, eu sou bombeiro, eu tô indo trabalhar.",Stand-up,,,"falou, vai, bolsonarista, filha da puta!;  O mesmo cara gritou, agora quer vir pro nosso lado, né? Não adianta não!; eu sou bombeiro, eu tô indo trabalhar.",,"O humorista conta sobre um brasileiro que, ao usar a camisa da seleção, foi associado ao bolsonarismo, devido ao uso da bandeira nacional na campanha do ex-presidente. Já de vermelho, ligaram-no ao petismo. No fim, o texto surpreende ao revelar que era apenas um bombeiro em uniforme de trabalho.",,Não,Sim,Não,Não,Não,Sim,Não,Não,,,1
https://www.youtube.com/shorts/T9aIRZjwed4?feature=share,Piauí,"E atendente de médico parece que faz um curso de ser antipático, só pode. Ô povo péssimo! Qual é seu convênio? É a primeira vez? O que você está sentindo? Isso é virose, beba água, beba água, beba água. Você é virose, beba muito líquido, beba muito líquido. Ô meu avô que é ignorante. Ela diz, qual é seu plano? O meu avô, ficar bom. Mas o que é que o senhor tem? Eu quero é saber, se eu soubesse eu não tinha vindo pra cá. Atrás destes ladrões, que esses médico são tudo ladrão. Ela ficou calada que ela não disse mais nada.",Stand-up,,,"O meu avô, ficar bom.; Eu quero é saber, se eu soubesse eu não tinha vindo pra cá. Atrás destes ladrões, que esses médico são tudo ladrão.",,"O humorista critica o pessimismo e à falta de vontade dos atendentes de clínicas médicas. Ele relembra que seu avô, impaciente com esse tipo de atendimento, reagia de forma ríspida e sagaz, trazendo exemplos hilários de suas respostas incisivas e irônicas.",,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,,Remover cinismo,1
